Part Family,Material,Threading Type,Coating Type,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
Z,4130,TenarisHydril Blue®,Xylan Coating,517.27104,36,8,0.6214222859,4.2,1.17,1.1," $ 1,737.53 "
Y,4130,VAM TOP®,Xylan Coating,154.01386,14,7,0.6214222859,2.5,1.2,1.05, $ 301.48 
Z,4130,JFE Lion,Phosphating,1648.80144,51,12,0.6214222859,4.2,1.17,1.1," $ 5,538.38 "
X,4130,TenarisHydril Blue®,Phosphating,2295.39024,71,12,0.6214222859,1.8,1.15,1.1," $ 3,247.93 "
X,4130,TenarisHydril Blue®,Xylan Coating,763.78302,42,9,0.6214222859,1.8,1.15,1.1," $ 1,080.74 "
Y,4130,VAM TOP®,Phosphating,373.58464,26,8,0.6214222859,2.5,1.2,1.05, $ 731.28 
Z,4130,TenarisHydril Blue®,Ni Plating,1303.95408,48,11,0.6214222859,4.2,1.17,1.1," $ 4,380.03 "
Y,4130,JFE Lion,Phosphating,460.69452,57,6,0.6214222859,2.5,1.2,1.05, $ 901.80 
Z,4130,TenarisHydril Blue®,Ni Plating,308.70125,55,5,0.6214222859,4.2,1.17,1.1," $ 1,036.94 "
Y,4130,TenarisHydril Blue®,Cu Plating,840.56544,26,12,0.6214222859,2.5,1.2,1.05," $ 1,645.39 "
Y,4130,VAM TOP®,Phosphating,2816.25344,49,16,0.6214222859,2.5,1.2,1.05," $ 5,512.76 "
X,4130,JFE Lion,Xylan Coating,2323.6785,46,15,0.6214222859,1.8,1.15,1.1," $ 3,287.96 "
Z,4130,JFE Lion,Ni Plating,67.353,12,5,0.6214222859,4.2,1.17,1.1, $ 226.24 
Z,4130,TenarisHydril Blue®,Ni Plating,461.81707,17,11,0.6214222859,4.2,1.17,1.1," $ 1,551.26 "
X,4130,TenarisHydril Blue®,Xylan Coating,1369.511,61,10,0.6214222859,1.8,1.15,1.1," $ 1,937.83 "
Z,4130,VAM TOP®,Phosphating,1738.60544,64,11,0.6214222859,4.2,1.17,1.1," $ 5,840.04 "
Y,4130,TenarisHydril Blue®,Ni Plating,185.89428,23,6,0.6214222859,2.5,1.2,1.05, $ 363.88 
X,4130,VAM TOP®,Ni Plating,145.48248,18,6,0.6214222859,1.8,1.15,1.1, $ 205.85 
Y,4130,JFE Lion,Cu Plating,833.38112,58,8,0.6214222859,2.5,1.2,1.05," $ 1,631.33 "
Y,4130,VAM TOP®,Ni Plating,597.64562,22,11,0.6214222859,2.5,1.2,1.05," $ 1,169.88 "
Z,4130,TenarisHydril Blue®,Phosphating,339.45912,42,6,0.6214222859,4.2,1.17,1.1," $ 1,140.26 "
Z,4130,JFE Lion,Xylan Coating,1196.18928,37,12,0.6214222859,4.2,1.17,1.1," $ 4,018.04 "
Z,4130,VAM TOP®,Carbide Coating,215.5296,15,8,0.6214222859,4.2,1.17,1.1, $ 723.97 
X,4130,VAM TOP®,Phosphating,2241.50784,39,16,0.6214222859,1.8,1.15,1.1," $ 3,171.69 "
X,4130,TenarisHydril Blue®,Xylan Coating,1369.511,61,10,0.6214222859,1.8,1.15,1.1," $ 1,937.83 "
X,4130,JFE Lion,Phosphating,1972.99388,52,13,0.6214222859,1.8,1.15,1.1," $ 2,791.74 "
Y,4130,TenarisHydril Blue®,Carbide Coating,303.0885,6,15,0.6214222859,2.5,1.2,1.05, $ 593.29 
Y,4130,JFE Lion,Ni Plating,1711.43973,63,11,0.6214222859,2.5,1.2,1.05," $ 3,350.11 "
Z,4130,VAM TOP®,Cu Plating,176.01584,49,4,0.6214222859,4.2,1.17,1.1, $ 591.24 
X,4130,TenarisHydril Blue®,Ni Plating,51.18828,57,2,0.6214222859,1.8,1.15,1.1, $ 72.43 
Y,4130,VAM TOP®,Xylan Coating,48.49416,54,2,0.6214222859,2.5,1.2,1.05, $ 94.93 
X,4130,JFE Lion,Xylan Coating,63.76084,71,2,0.6214222859,1.8,1.15,1.1, $ 90.22 
Z,4130,TenarisHydril Blue®,Xylan Coating,89.804,25,4,0.6214222859,4.2,1.17,1.1, $ 301.65 
Z,4130,JFE Lion,Xylan Coating,775.90656,54,8,0.6214222859,4.2,1.17,1.1," $ 2,606.30 "
X,4130,VAM TOP®,Cu Plating,2778.31125,55,15,0.6214222859,1.8,1.15,1.1," $ 3,931.25 "
Y,4130,VAM TOP®,Phosphating,5.38824,6,2,0.6214222859,2.5,1.2,1.05, $ 10.55 
Y,4130,TenarisHydril Blue®,Phosphating,2873.728,50,16,0.6214222859,2.5,1.2,1.05," $ 5,625.27 "
Z,4130,JFE Lion,Carbide Coating,745.59771,41,9,0.6214222859,4.2,1.17,1.1," $ 2,504.49 "
Y,4130,VAM TOP®,Carbide Coating,16.16472,18,2,0.6214222859,2.5,1.2,1.05, $ 31.64 
Y,4130,JFE Lion,Ni Plating,1521.27976,56,11,0.6214222859,2.5,1.2,1.05," $ 2,977.88 "
Z,4130,VAM TOP®,Cu Plating,145.9315,26,5,0.6214222859,4.2,1.17,1.1, $ 490.19 
Z,4130,JFE Lion,Phosphating,325.5395,58,5,0.6214222859,4.2,1.17,1.1," $ 1,093.50 "
Z,4130,VAM TOP®,Cu Plating,210.14136,26,6,0.6214222859,4.2,1.17,1.1, $ 705.87 
Y,4130,VAM TOP®,Carbide Coating,38.39121,19,3,0.6214222859,2.5,1.2,1.05, $ 75.15 
Y,4130,JFE Lion,Phosphating,781.07029,71,7,0.6214222859,2.5,1.2,1.05," $ 1,528.93 "
X,4130,TenarisHydril Blue®,Carbide Coating,654.67116,36,9,0.6214222859,1.8,1.15,1.1, $ 926.35 
X,4130,JFE Lion,Xylan Coating,387.95328,48,6,0.6214222859,1.8,1.15,1.1, $ 548.95 
X,4130,TenarisHydril Blue®,Ni Plating,47.59612,53,2,0.6214222859,1.8,1.15,1.1, $ 67.35 
X,4130,VAM TOP®,Ni Plating,2390.35797,63,13,0.6214222859,1.8,1.15,1.1," $ 3,382.31 "
X,4130,VAM TOP®,Cu Plating,2238.58921,59,13,0.6214222859,1.8,1.15,1.1," $ 3,167.56 "
Y,4130,TenarisHydril Blue®,Phosphating,2011.6096,35,16,0.6214222859,2.5,1.2,1.05," $ 3,937.69 "
Z,4130,TenarisHydril Blue®,Ni Plating,3485.51775,69,15,0.6214222859,4.2,1.17,1.1," $ 11,707.98 "
X,4130,TenarisHydril Blue®,Carbide Coating,18.18531,9,3,0.6214222859,1.8,1.15,1.1, $ 25.73 
X,4130,TenarisHydril Blue®,Carbide Coating,1385.45121,51,11,0.6214222859,1.8,1.15,1.1," $ 1,960.38 "
X,4130,VAM TOP®,Cu Plating,3435.003,68,15,0.6214222859,1.8,1.15,1.1," $ 4,860.46 "
X,4130,JFE Lion,Phosphating,64.65888,72,2,0.6214222859,1.8,1.15,1.1, $ 91.49 
Z,4130,VAM TOP®,Cu Plating,359.216,25,8,0.6214222859,4.2,1.17,1.1," $ 1,206.62 "
Y,4130,VAM TOP®,Ni Plating,185.22075,33,5,0.6214222859,2.5,1.2,1.05, $ 362.57 
X,4130,TenarisHydril Blue®,Cu Plating,1109.30391,61,9,0.6214222859,1.8,1.15,1.1," $ 1,569.64 "
Y,4130,VAM TOP®,Cu Plating,158.05504,11,8,0.6214222859,2.5,1.2,1.05, $ 309.39 
Z,4130,TenarisHydril Blue®,Phosphating,919.59296,16,16,0.6214222859,4.2,1.17,1.1," $ 3,088.95 "
Z,4130,VAM TOP®,Carbide Coating,158.05504,11,8,0.6214222859,4.2,1.17,1.1, $ 530.91 
X,4130,VAM TOP®,Xylan Coating,787.80559,29,11,0.6214222859,1.8,1.15,1.1," $ 1,114.73 "
Y,4130,JFE Lion,Phosphating,1609.28768,28,16,0.6214222859,2.5,1.2,1.05," $ 3,150.15 "
X,4130,TenarisHydril Blue®,Carbide Coating,2677.28175,53,15,0.6214222859,1.8,1.15,1.1," $ 3,788.30 "
X,4130,TenarisHydril Blue®,Carbide Coating,740.883,33,10,0.6214222859,1.8,1.15,1.1," $ 1,048.33 "
Y,4130,VAM TOP®,Cu Plating,1602.77689,59,11,0.6214222859,2.5,1.2,1.05," $ 3,137.40 "
X,4130,JFE Lion,Xylan Coating,308.70125,55,5,0.6214222859,1.8,1.15,1.1, $ 436.81 
X,4130,TenarisHydril Blue®,Carbide Coating,2332.20988,53,14,0.6214222859,1.8,1.15,1.1," $ 3,300.03 "
Z,4130,JFE Lion,Carbide Coating,173.99525,31,5,0.6214222859,4.2,1.17,1.1, $ 584.46 
Y,4130,JFE Lion,Cu Plating,748.06732,17,14,0.6214222859,2.5,1.2,1.05," $ 1,464.33 "
Z,4130,JFE Lion,Carbide Coating,740.883,33,10,0.6214222859,4.2,1.17,1.1," $ 2,488.65 "
Y,4130,VAM TOP®,Xylan Coating,364.82875,65,5,0.6214222859,2.5,1.2,1.05, $ 714.15 
Z,4130,VAM TOP®,Carbide Coating,61.74025,11,5,0.6214222859,4.2,1.17,1.1, $ 207.39 
Y,4130,VAM TOP®,Phosphating,3276.04992,57,16,0.6214222859,2.5,1.2,1.05," $ 6,412.80 "
X,4130,TenarisHydril Blue®,Ni Plating,13.4706,15,2,0.6214222859,1.8,1.15,1.1, $ 19.06 
Z,4130,VAM TOP®,Carbide Coating,363.03267,33,7,0.6214222859,4.2,1.17,1.1," $ 1,219.44 "
Y,4130,JFE Lion,Phosphating,218.89725,39,5,0.6214222859,2.5,1.2,1.05, $ 428.49 
Y,4130,VAM TOP®,Ni Plating,157.157,28,5,0.6214222859,2.5,1.2,1.05, $ 307.63 
Y,4130,VAM TOP®,Phosphating,614.25936,19,12,0.6214222859,2.5,1.2,1.05," $ 1,202.40 "
X,4130,JFE Lion,Cu Plating,1459.315,65,10,0.6214222859,1.8,1.15,1.1," $ 2,064.90 "
Z,4130,VAM TOP®,Carbide Coating,1403.86103,37,13,0.6214222859,4.2,1.17,1.1," $ 4,715.62 "
X,4130,JFE Lion,Cu Plating,125.7256,35,4,0.6214222859,1.8,1.15,1.1, $ 177.90 
X,4130,VAM TOP®,Phosphating,2728.24552,62,14,0.6214222859,1.8,1.15,1.1," $ 3,860.41 "
X,4130,VAM TOP®,Phosphating,549.60048,17,12,0.6214222859,1.8,1.15,1.1, $ 777.67 
Z,4130,VAM TOP®,Xylan Coating,88.00792,8,7,0.6214222859,4.2,1.17,1.1, $ 295.62 
Y,4130,VAM TOP®,Ni Plating,924.08316,21,14,0.6214222859,2.5,1.2,1.05," $ 1,808.87 "
Z,4130,JFE Lion,Cu Plating,201.16096,14,8,0.6214222859,4.2,1.17,1.1, $ 675.71 
Y,4130,VAM TOP®,Xylan Coating,1571.57,70,10,0.6214222859,2.5,1.2,1.05," $ 3,076.32 "
Y,4130,VAM TOP®,Cu Plating,2528.88064,44,16,0.6214222859,2.5,1.2,1.05," $ 4,950.23 "
Z,4130,TenarisHydril Blue®,Ni Plating,689.69472,48,8,0.6214222859,4.2,1.17,1.1," $ 2,316.71 "
X,4130,JFE Lion,Cu Plating,21.55296,24,2,0.6214222859,1.8,1.15,1.1, $ 30.50 
Y,4130,TenarisHydril Blue®,Phosphating,1810.44864,56,12,0.6214222859,2.5,1.2,1.05," $ 3,543.92 "
Z,4130,VAM TOP®,Ni Plating,472.81806,26,9,0.6214222859,4.2,1.17,1.1," $ 1,588.21 "
X,4130,JFE Lion,Phosphating,574.7456,10,16,0.6214222859,1.8,1.15,1.1, $ 813.25 
Z,4130,VAM TOP®,Ni Plating,258.63552,18,8,0.6214222859,4.2,1.17,1.1, $ 868.77 
Y,4130,TenarisHydril Blue®,Carbide Coating,3276.04992,57,16,0.6214222859,2.5,1.2,1.05," $ 6,412.80 "
X,4130,TenarisHydril Blue®,Xylan Coating,459.79648,32,8,0.6214222859,1.8,1.15,1.1, $ 650.60 
Y,4130,JFE Lion,Ni Plating,969.8832,30,12,0.6214222859,2.5,1.2,1.05," $ 1,898.53 "
X,4130,JFE Lion,Cu Plating,1012.09108,23,14,0.6214222859,1.8,1.15,1.1," $ 1,432.09 "
Z,4130,JFE Lion,Cu Plating,760.63988,28,11,0.6214222859,4.2,1.17,1.1," $ 2,555.02 "
Y,4130,JFE Lion,Cu Plating,2071.10475,41,15,0.6214222859,2.5,1.2,1.05," $ 4,054.15 "
Y,4130,TenarisHydril Blue®,Carbide Coating,1391.962,62,10,0.6214222859,2.5,1.2,1.05," $ 2,724.74 "
Y,4130,JFE Lion,Cu Plating,303.53752,8,13,0.6214222859,2.5,1.2,1.05, $ 594.17 
Z,4130,JFE Lion,Carbide Coating,572.05148,52,7,0.6214222859,4.2,1.17,1.1," $ 1,921.54 "
X,4130,JFE Lion,Ni Plating,3485.51775,69,15,0.6214222859,1.8,1.15,1.1," $ 4,931.93 "
X,4130,TenarisHydril Blue®,Carbide Coating,3333.52448,58,16,0.6214222859,1.8,1.15,1.1," $ 4,716.87 "
Z,4130,TenarisHydril Blue®,Carbide Coating,33.6765,6,5,0.6214222859,4.2,1.17,1.1, $ 113.12 
Y,4130,TenarisHydril Blue®,Ni Plating,1249.62266,46,11,0.6214222859,2.5,1.2,1.05," $ 2,446.11 "
X,4130,JFE Lion,Ni Plating,2011.6096,35,16,0.6214222859,1.8,1.15,1.1," $ 2,846.38 "
Z,4130,TenarisHydril Blue®,Xylan Coating,396.03564,36,7,0.6214222859,4.2,1.17,1.1," $ 1,330.30 "
Y,4130,TenarisHydril Blue®,Ni Plating,299.04732,37,6,0.6214222859,2.5,1.2,1.05, $ 585.38 
X,4130,JFE Lion,Ni Plating,451.04059,41,7,0.6214222859,1.8,1.15,1.1, $ 638.21 
Z,4130,JFE Lion,Carbide Coating,153.56484,19,6,0.6214222859,4.2,1.17,1.1, $ 515.83 
Z,4130,VAM TOP®,Xylan Coating,1549.119,69,10,0.6214222859,4.2,1.17,1.1," $ 5,203.55 "
Y,4130,TenarisHydril Blue®,Ni Plating,880.0792,20,14,0.6214222859,2.5,1.2,1.05," $ 1,722.74 "
Y,4130,JFE Lion,Carbide Coating,286.02574,26,7,0.6214222859,2.5,1.2,1.05, $ 559.89 
X,4130,VAM TOP®,Xylan Coating,495.04455,45,7,0.6214222859,1.8,1.15,1.1, $ 700.48 
Y,4130,VAM TOP®,Cu Plating,704.06336,16,14,0.6214222859,2.5,1.2,1.05," $ 1,378.19 "
X,4130,TenarisHydril Blue®,Cu Plating,287.3728,5,16,0.6214222859,1.8,1.15,1.1, $ 406.63 
Y,4130,TenarisHydril Blue®,Xylan Coating,86.88537,43,3,0.6214222859,2.5,1.2,1.05, $ 170.08 
Z,4130,TenarisHydril Blue®,Xylan Coating,229.89824,16,8,0.6214222859,4.2,1.17,1.1, $ 772.24 
X,4130,VAM TOP®,Xylan Coating,244.26688,68,4,0.6214222859,1.8,1.15,1.1, $ 345.63 
X,4130,JFE Lion,Phosphating,1781.71136,31,16,0.6214222859,1.8,1.15,1.1," $ 2,521.08 "
Y,4130,JFE Lion,Xylan Coating,71.8432,20,4,0.6214222859,2.5,1.2,1.05, $ 140.63 
Y,4130,JFE Lion,Xylan Coating,218.22372,27,6,0.6214222859,2.5,1.2,1.05, $ 427.17 
X,4130,VAM TOP®,Cu Plating,1436.864,25,16,0.6214222859,1.8,1.15,1.1," $ 2,033.13 "
Z,4130,JFE Lion,Carbide Coating,112.255,20,5,0.6214222859,4.2,1.17,1.1, $ 377.07 
Y,4130,TenarisHydril Blue®,Phosphating,581.92992,18,12,0.6214222859,2.5,1.2,1.05," $ 1,139.12 "
X,4130,TenarisHydril Blue®,Phosphating,3103.62624,54,16,0.6214222859,1.8,1.15,1.1," $ 4,391.56 "
Y,4130,JFE Lion,Xylan Coating,472.81806,26,9,0.6214222859,2.5,1.2,1.05, $ 925.53 
Z,4130,TenarisHydril Blue®,Carbide Coating,1594.021,71,10,0.6214222859,4.2,1.17,1.1," $ 5,354.37 "
Z,4130,JFE Lion,Phosphating,675.32608,47,8,0.6214222859,4.2,1.17,1.1," $ 2,268.44 "
Z,4130,JFE Lion,Cu Plating,651.97704,24,11,0.6214222859,4.2,1.17,1.1," $ 2,190.01 "
X,4130,TenarisHydril Blue®,Cu Plating,573.84756,71,6,0.6214222859,1.8,1.15,1.1, $ 811.98 
Z,4130,TenarisHydril Blue®,Phosphating,2288.20592,52,14,0.6214222859,4.2,1.17,1.1," $ 7,686.17 "
Y,4130,TenarisHydril Blue®,Cu Plating,2586.3552,45,16,0.6214222859,2.5,1.2,1.05," $ 5,062.74 "
X,4130,TenarisHydril Blue®,Cu Plating,121.2354,15,6,0.6214222859,1.8,1.15,1.1, $ 171.55 
X,4130,TenarisHydril Blue®,Xylan Coating,196.44625,35,5,0.6214222859,1.8,1.15,1.1, $ 277.97 
X,4130,TenarisHydril Blue®,Phosphating,1358.2855,50,11,0.6214222859,1.8,1.15,1.1," $ 1,921.94 "
X,4130,TenarisHydril Blue®,Cu Plating,660.0594,15,14,0.6214222859,1.8,1.15,1.1, $ 933.97 
X,4130,TenarisHydril Blue®,Ni Plating,671.06039,61,7,0.6214222859,1.8,1.15,1.1, $ 949.54 
Z,4130,VAM TOP®,Phosphating,121.01089,11,7,0.6214222859,4.2,1.17,1.1, $ 406.48 
Z,4130,JFE Lion,Ni Plating,157.157,28,5,0.6214222859,4.2,1.17,1.1, $ 527.90 
Y,4130,TenarisHydril Blue®,Cu Plating,574.7456,40,8,0.6214222859,2.5,1.2,1.05," $ 1,125.05 "
Z,4130,JFE Lion,Ni Plating,2596.23364,59,14,0.6214222859,4.2,1.17,1.1," $ 8,720.84 "
Y,4130,TenarisHydril Blue®,Xylan Coating,1144.10296,26,14,0.6214222859,2.5,1.2,1.05," $ 2,239.56 "
Z,4130,TenarisHydril Blue®,Ni Plating,2048.87826,54,13,0.6214222859,4.2,1.17,1.1," $ 6,882.26 "
Y,4130,JFE Lion,Ni Plating,359.216,25,8,0.6214222859,2.5,1.2,1.05, $ 703.16 
Y,4130,JFE Lion,Carbide Coating,250.55316,31,6,0.6214222859,2.5,1.2,1.05, $ 490.45 
X,4130,VAM TOP®,Ni Plating,86.21184,6,8,0.6214222859,1.8,1.15,1.1, $ 121.99 
X,4130,JFE Lion,Carbide Coating,605.05445,55,7,0.6214222859,1.8,1.15,1.1, $ 856.14 
Z,4130,JFE Lion,Xylan Coating,1077.648,48,10,0.6214222859,4.2,1.17,1.1," $ 3,619.86 "
X,4130,JFE Lion,Cu Plating,165.23936,46,4,0.6214222859,1.8,1.15,1.1, $ 233.81 
X,4130,TenarisHydril Blue®,Xylan Coating,56.57652,28,3,0.6214222859,1.8,1.15,1.1, $ 80.05 
X,4130,VAM TOP®,Phosphating,905.22432,28,12,0.6214222859,1.8,1.15,1.1," $ 1,280.87 "
Y,4130,JFE Lion,Ni Plating,891.08019,49,9,0.6214222859,2.5,1.2,1.05," $ 1,744.27 "
Y,4130,JFE Lion,Cu Plating,404.118,72,5,0.6214222859,2.5,1.2,1.05, $ 791.05 
Z,4130,VAM TOP®,Carbide Coating,872.89488,48,9,0.6214222859,4.2,1.17,1.1," $ 2,932.09 "
Z,4130,TenarisHydril Blue®,Carbide Coating,1839.18592,32,16,0.6214222859,4.2,1.17,1.1," $ 6,177.89 "
X,4130,VAM TOP®,Cu Plating,2904.26136,66,14,0.6214222859,1.8,1.15,1.1," $ 4,109.47 "
X,4130,TenarisHydril Blue®,Ni Plating,80.8236,10,6,0.6214222859,1.8,1.15,1.1, $ 114.36 
X,4130,VAM TOP®,Phosphating,583.05247,53,7,0.6214222859,1.8,1.15,1.1, $ 825.01 
X,4130,JFE Lion,Carbide Coating,1357.83648,42,12,0.6214222859,1.8,1.15,1.1," $ 1,921.31 "
X,4130,JFE Lion,Cu Plating,570.47991,21,11,0.6214222859,1.8,1.15,1.1, $ 807.22 
Y,4130,JFE Lion,Phosphating,64.65888,8,6,0.6214222859,2.5,1.2,1.05, $ 126.57 
Z,4130,VAM TOP®,Phosphating,41.30984,46,2,0.6214222859,4.2,1.17,1.1, $ 138.76 
Y,4130,TenarisHydril Blue®,Cu Plating,218.22372,12,9,0.6214222859,2.5,1.2,1.05, $ 427.17 
X,4130,VAM TOP®,Carbide Coating,2124.76264,56,13,0.6214222859,1.8,1.15,1.1," $ 3,006.49 "
X,4130,VAM TOP®,Carbide Coating,1783.28293,47,13,0.6214222859,1.8,1.15,1.1," $ 2,523.31 "
Y,4130,TenarisHydril Blue®,Carbide Coating,1167.452,52,10,0.6214222859,2.5,1.2,1.05," $ 2,285.26 "
Y,4130,VAM TOP®,Phosphating,461.81707,17,11,0.6214222859,2.5,1.2,1.05, $ 904.00 
Y,4130,TenarisHydril Blue®,Phosphating,517.27104,64,6,0.6214222859,2.5,1.2,1.05," $ 1,012.55 "
X,4130,TenarisHydril Blue®,Cu Plating,347.54148,43,6,0.6214222859,1.8,1.15,1.1, $ 491.76 
Y,4130,TenarisHydril Blue®,Phosphating,10.10295,5,3,0.6214222859,2.5,1.2,1.05, $ 19.78 
X,4130,VAM TOP®,Carbide Coating,1032.746,46,10,0.6214222859,1.8,1.15,1.1," $ 1,461.31 "
X,4130,VAM TOP®,Ni Plating,1549.119,69,10,0.6214222859,1.8,1.15,1.1," $ 2,191.97 "
X,4130,JFE Lion,Ni Plating,1010.295,20,15,0.6214222859,1.8,1.15,1.1," $ 1,429.55 "
Z,4130,VAM TOP®,Ni Plating,2873.728,50,16,0.6214222859,4.2,1.17,1.1," $ 9,652.96 "
Y,4130,JFE Lion,Carbide Coating,1842.77808,57,12,0.6214222859,2.5,1.2,1.05," $ 3,607.20 "
Y,4130,VAM TOP®,Xylan Coating,330.0297,30,7,0.6214222859,2.5,1.2,1.05, $ 646.03 
Y,4130,VAM TOP®,Cu Plating,1054.74798,58,9,0.6214222859,2.5,1.2,1.05," $ 2,064.65 "
Z,4130,VAM TOP®,Ni Plating,172.42368,12,8,0.6214222859,4.2,1.17,1.1, $ 579.18 
X,4130,TenarisHydril Blue®,Carbide Coating,104.17264,29,4,0.6214222859,1.8,1.15,1.1, $ 147.40 
Y,4130,TenarisHydril Blue®,Cu Plating,1024.43913,27,13,0.6214222859,2.5,1.2,1.05," $ 2,005.32 "
Y,4130,TenarisHydril Blue®,Carbide Coating,31.4314,35,2,0.6214222859,2.5,1.2,1.05, $ 61.53 
Z,4130,VAM TOP®,Phosphating,1839.18592,32,16,0.6214222859,4.2,1.17,1.1," $ 6,177.89 "
X,4130,TenarisHydril Blue®,Xylan Coating,376.05425,67,5,0.6214222859,1.8,1.15,1.1, $ 532.11 
Z,4130,TenarisHydril Blue®,Ni Plating,43.10592,12,4,0.6214222859,4.2,1.17,1.1, $ 144.79 
Z,4130,VAM TOP®,Phosphating,290.96496,9,12,0.6214222859,4.2,1.17,1.1, $ 977.36 
X,4130,VAM TOP®,Xylan Coating,2323.6785,46,15,0.6214222859,1.8,1.15,1.1," $ 3,287.96 "
