Part Family,Material,Threading Type,Coating Type,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
Y,F22,TenarisHydril Blue®,Xylan Coating,387.95328,12,12,0.8300750243,2.5,1.2,1.05," $ 1,014.40 "
Z,F22,TenarisHydril Blue®,Xylan Coating,3435.003,68,15,0.8300750243,4.2,1.17,1.1," $ 15,412.47 "
X,4130,TenarisHydril Blue®,Xylan Coating,1436.864,25,16,0.6214222859,1.8,1.15,1.1," $ 2,033.13 "
Y,4130,TenarisHydril Blue®,Xylan Coating,176.01584,49,4,0.6214222859,2.5,1.2,1.05, $ 344.55 
Z,4130,TenarisHydril Blue®,Xylan Coating,209.01881,19,7,0.6214222859,4.2,1.17,1.1, $ 702.10 
X,F22,JFE Lion,Xylan Coating,86.21184,6,8,0.8300750243,1.8,1.15,1.1, $ 162.95 
Y,F22,JFE Lion,Xylan Coating,47.59612,53,2,0.8300750243,2.5,1.2,1.05, $ 124.45 
Z,F22,JFE Lion,Xylan Coating,531.19066,14,13,0.8300750243,4.2,1.17,1.1," $ 2,383.39 "
X,4130,JFE Lion,Xylan Coating,132.01188,12,7,0.6214222859,1.8,1.15,1.1, $ 186.79 
Y,4130,JFE Lion,Xylan Coating,158.05504,11,8,0.6214222859,2.5,1.2,1.05, $ 309.39 
Z,4130,JFE Lion,Xylan Coating,1875.10752,58,12,0.6214222859,4.2,1.17,1.1," $ 6,298.55 "
X,F22,VAM TOP®,Xylan Coating,22.451,25,2,0.8300750243,1.8,1.15,1.1, $ 42.43 
Y,F22,VAM TOP®,Xylan Coating,1875.10752,58,12,0.8300750243,2.5,1.2,1.05," $ 4,902.91 "
Z,F22,VAM TOP®,Xylan Coating,660.0594,60,7,0.8300750243,4.2,1.17,1.1," $ 2,961.61 "
X,4130,VAM TOP®,Xylan Coating,3536.0325,70,15,0.6214222859,1.8,1.15,1.1," $ 5,003.41 "
Y,4130,VAM TOP®,Xylan Coating,2295.39024,71,12,0.6214222859,2.5,1.2,1.05," $ 4,493.18 "
Z,4130,VAM TOP®,Xylan Coating,165.23936,46,4,0.6214222859,4.2,1.17,1.1, $ 555.04 
