Part Family,X,Y,Z,Material,4130,F22,Threading Type,JFE Lion,TenarisHydril Blue®,VAM TOP®,Coating Type,Phosphating,Xylan Coating,Ni Plating,Cu Plating,Carbide Coating,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Phosphating,1,0,0,0,0,246.961,11,10,0.6214222859,1.6,1.9,1.7, $ 483.42 
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,462.04158,42,7,0.8300750243,1.6,1.2,1.2, $ 873.30 
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,86.21184,24,4,0.6214222859,1.0,1.5,1.5, $ 168.76 
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,3850.79552,67,16,0.8300750243,1.1,1.6,1.1," $ 7,278.31 "
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,836.52426,46,9,0.6214222859,1.1,1.3,1.4," $ 1,183.66 "
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Cu Plating,0,0,0,1,0,24.24708,12,3,0.8300750243,1.7,1.4,1.0, $ 63.40 
Z,0,0,1,F22,0,1,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,842.13701,31,11,0.8300750243,1.2,1.9,1.6," $ 3,778.57 "
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,96.98832,48,3,0.8300750243,1.5,1.9,1.8, $ 183.32 
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,709.22709,39,9,0.8300750243,1.6,1.6,1.8," $ 1,340.50 "
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,201.16096,56,4,0.8300750243,1.8,1.9,1.9, $ 380.21 
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,56.57652,63,2,0.6214222859,1.6,1.3,1.6, $ 110.75 
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,211.93744,59,4,0.6214222859,1.4,1.1,1.5, $ 414.86 
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,418.26213,23,9,0.8300750243,1.7,1.2,1.3," $ 1,093.65 "
Y,0,1,0,F22,0,1,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,2332.20988,53,14,0.8300750243,1.6,1.0,1.1," $ 6,098.11 "
X,1,0,0,4130,1,0,VAM TOP®,0,0,1,Cu Plating,0,0,0,1,0,660.0594,15,14,0.6214222859,1.2,1.5,1.1, $ 933.97 
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,3637.062,72,15,0.6214222859,1.0,1.8,1.3," $ 7,119.48 "
Y,0,1,0,4130,1,0,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,298.82281,11,11,0.6214222859,1.3,1.0,2.0, $ 584.94 
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,46.69808,52,2,0.6214222859,1.9,1.0,1.8, $ 66.08 
X,1,0,0,4130,1,0,VAM TOP®,0,0,1,Xylan Coating,0,1,0,0,0,1257.256,56,10,0.6214222859,2.0,1.9,1.2," $ 1,778.99 "
Y,0,1,0,F22,0,1,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,179.608,50,4,0.8300750243,1.5,1.7,1.5, $ 469.63 
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,32.32944,4,6,0.6214222859,2.0,1.7,1.1, $ 108.60 
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,517.27104,36,8,0.6214222859,1.9,1.5,1.2," $ 1,737.53 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Xylan Coating,0,1,0,0,0,154.01386,14,7,0.6214222859,1.6,1.9,1.8, $ 301.48 
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,1648.80144,51,12,0.6214222859,1.3,1.7,1.3," $ 5,538.38 "
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,111.13245,55,3,0.8300750243,1.9,1.1,1.3, $ 210.05 
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,2295.39024,71,12,0.6214222859,1.3,1.8,1.1," $ 3,247.93 "
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,763.78302,42,9,0.6214222859,1.5,1.3,1.8," $ 1,080.74 "
Z,0,0,1,F22,0,1,TenarisHydril Blue®,0,1,0,Carbide Coating,0,0,0,0,1,7.18432,8,2,0.8300750243,1.3,1.4,1.6, $ 32.24 
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Carbide Coating,0,0,0,0,1,1496.13464,34,14,0.8300750243,1.3,1.4,1.6," $ 2,827.82 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Phosphating,1,0,0,0,0,373.58464,26,8,0.6214222859,1.4,1.1,1.8, $ 731.28 
Z,0,0,1,F22,0,1,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,145.9315,26,5,0.8300750243,1.7,1.4,1.6, $ 654.78 
Z,0,0,1,F22,0,1,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,355.62384,44,6,0.8300750243,1.5,1.9,1.9," $ 1,595.64 "
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,1303.95408,48,11,0.6214222859,1.1,1.1,1.6," $ 4,380.03 "
Y,0,1,0,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,460.69452,57,6,0.6214222859,1.9,1.7,1.8, $ 901.80 
Z,0,0,1,F22,0,1,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,363.7062,20,9,0.8300750243,1.8,1.3,1.1," $ 1,631.91 "
Y,0,1,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,709.22709,39,9,0.8300750243,1.2,1.7,2.0," $ 1,854.44 "
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Carbide Coating,0,0,0,0,1,57.47456,64,2,0.8300750243,1.8,1.3,1.0, $ 108.63 
Z,0,0,1,F22,0,1,JFE Lion,1,0,0,Carbide Coating,0,0,0,0,1,1018.37736,56,9,0.8300750243,1.3,1.7,1.4," $ 4,569.34 "
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,308.70125,55,5,0.6214222859,1.0,2.0,1.1," $ 1,036.94 "
Y,0,1,0,F22,0,1,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,323.2944,10,12,0.8300750243,1.4,1.3,1.2, $ 845.33 
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,20.2059,10,3,0.8300750243,1.4,1.3,1.8, $ 52.83 
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Cu Plating,0,0,0,1,0,445.42784,31,8,0.8300750243,1.7,1.4,1.8, $ 841.89 
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,39.28925,7,5,0.8300750243,2.0,1.1,1.2, $ 102.73 
Z,0,0,1,F22,0,1,TenarisHydril Blue®,0,1,0,Cu Plating,0,0,0,1,0,14.36864,4,4,0.8300750243,1.3,1.0,1.4, $ 64.47 
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Cu Plating,0,0,0,1,0,840.56544,26,12,0.6214222859,1.9,1.3,1.6," $ 1,645.39 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Phosphating,1,0,0,0,0,2816.25344,49,16,0.6214222859,1.4,1.9,1.0," $ 5,512.76 "
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,2323.6785,46,15,0.6214222859,1.6,1.7,1.4," $ 3,287.96 "
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,67.353,12,5,0.6214222859,1.7,1.1,1.8, $ 226.24 
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,461.81707,17,11,0.6214222859,1.5,1.0,1.3," $ 1,551.26 "
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,1369.511,61,10,0.6214222859,1.4,1.6,1.5," $ 1,937.83 "
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,1648.80144,51,12,0.8300750243,1.7,1.9,1.9," $ 4,311.18 "
Z,0,0,1,4130,1,0,VAM TOP®,0,0,1,Phosphating,1,0,0,0,0,1738.60544,64,11,0.6214222859,1.6,1.1,1.2," $ 5,840.04 "
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,991.43616,69,8,0.8300750243,1.0,1.0,1.7," $ 1,873.89 "
Y,0,1,0,F22,0,1,VAM TOP®,0,0,1,Cu Plating,0,0,0,1,0,14.36864,16,2,0.8300750243,2.0,1.4,1.1, $ 37.57 
Z,0,0,1,F22,0,1,VAM TOP®,0,0,1,Cu Plating,0,0,0,1,0,117.86775,21,5,0.8300750243,1.6,1.3,1.5, $ 528.86 
Z,0,0,1,F22,0,1,JFE Lion,1,0,0,Carbide Coating,0,0,0,0,1,872.89488,27,12,0.8300750243,1.3,1.7,1.9," $ 3,916.58 "
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,185.89428,23,6,0.6214222859,1.1,1.3,1.1, $ 363.88 
X,1,0,0,4130,1,0,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,145.48248,18,6,0.6214222859,1.7,1.2,1.3, $ 205.85 
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Cu Plating,0,0,0,1,0,531.63968,37,8,0.8300750243,1.1,1.3,1.1," $ 1,004.84 "
Y,0,1,0,4130,1,0,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,833.38112,58,8,0.6214222859,1.9,1.9,1.7," $ 1,631.33 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,597.64562,22,11,0.6214222859,1.2,1.4,1.9," $ 1,169.88 "
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,339.45912,42,6,0.6214222859,1.3,1.0,2.0," $ 1,140.26 "
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,1196.18928,37,12,0.6214222859,1.4,1.6,1.2," $ 4,018.04 "
Z,0,0,1,4130,1,0,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,215.5296,15,8,0.6214222859,1.3,1.5,1.1, $ 723.97 
X,1,0,0,4130,1,0,VAM TOP®,0,0,1,Phosphating,1,0,0,0,0,2241.50784,39,16,0.6214222859,1.6,1.7,1.5," $ 3,171.69 "
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,1369.511,61,10,0.6214222859,1.4,1.9,1.5," $ 1,937.83 "
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Phosphating,1,0,0,0,0,94.96773,47,3,0.8300750243,1.3,1.2,1.6, $ 179.50 
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,1972.99388,52,13,0.6214222859,1.4,1.3,1.0," $ 2,791.74 "
Y,0,1,0,F22,0,1,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,1369.511,61,10,0.8300750243,1.3,1.3,1.4," $ 3,580.91 "
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,2508.22572,57,14,0.8300750243,1.7,1.9,1.6," $ 4,740.75 "
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Carbide Coating,0,0,0,0,1,303.0885,6,15,0.6214222859,1.8,1.7,1.3, $ 593.29 
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,1100.099,49,10,0.8300750243,1.8,1.8,1.8," $ 2,079.28 "
Y,0,1,0,4130,1,0,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,1711.43973,63,11,0.6214222859,1.3,1.8,1.8," $ 3,350.11 "
Y,0,1,0,F22,0,1,JFE Lion,1,0,0,Carbide Coating,0,0,0,0,1,1196.18928,37,12,0.8300750243,1.7,1.5,1.5," $ 3,127.72 "
Z,0,0,1,4130,1,0,VAM TOP®,0,0,1,Cu Plating,0,0,0,1,0,176.01584,49,4,0.6214222859,1.3,1.7,1.8, $ 591.24 
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,396.03564,49,6,0.8300750243,1.6,1.1,1.1, $ 748.54 
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,51.18828,57,2,0.6214222859,1.2,1.3,1.8, $ 72.43 
Y,0,1,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,632.22016,44,8,0.8300750243,1.3,1.0,1.2," $ 1,653.09 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Xylan Coating,0,1,0,0,0,48.49416,54,2,0.6214222859,1.9,1.2,1.5, $ 94.93 
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,63.76084,71,2,0.6214222859,1.5,1.5,1.6, $ 90.22 
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,89.804,25,4,0.6214222859,1.0,1.4,1.1, $ 301.65 
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,775.90656,54,8,0.6214222859,1.8,1.3,1.3," $ 2,606.30 "
Z,0,0,1,F22,0,1,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,945.63612,52,9,0.8300750243,1.0,1.5,1.3," $ 4,242.96 "
X,1,0,0,4130,1,0,VAM TOP®,0,0,1,Cu Plating,0,0,0,1,0,2778.31125,55,15,0.6214222859,1.6,1.1,1.1," $ 3,931.25 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Phosphating,1,0,0,0,0,5.38824,6,2,0.6214222859,1.2,1.5,1.6, $ 10.55 
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,1515.4425,30,15,0.8300750243,1.6,1.0,1.8," $ 2,864.31 "
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,2873.728,50,16,0.6214222859,1.1,1.7,1.5," $ 5,625.27 "
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Carbide Coating,0,0,0,0,1,745.59771,41,9,0.6214222859,1.0,1.8,1.6," $ 2,504.49 "
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,129.31776,4,12,0.8300750243,1.2,1.8,1.9, $ 244.42 
Y,0,1,0,F22,0,1,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,1907.43696,59,12,0.8300750243,1.3,1.4,1.1," $ 4,987.44 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,16.16472,18,2,0.6214222859,1.4,1.3,1.6, $ 31.64 
Y,0,1,0,4130,1,0,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,1521.27976,56,11,0.6214222859,1.0,1.1,1.3," $ 2,977.88 "
Z,0,0,1,4130,1,0,VAM TOP®,0,0,1,Cu Plating,0,0,0,1,0,145.9315,26,5,0.6214222859,1.7,1.2,1.4, $ 490.19 
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Phosphating,1,0,0,0,0,1521.27976,56,11,0.8300750243,1.9,1.4,1.5," $ 2,875.34 "
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,325.5395,58,5,0.6214222859,1.3,1.3,1.6," $ 1,093.50 "
Z,0,0,1,F22,0,1,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,172.42368,48,4,0.8300750243,1.8,1.5,2.0, $ 773.65 
Z,0,0,1,F22,0,1,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,428.36508,53,6,0.8300750243,1.8,1.3,1.4," $ 1,922.03 "
Z,0,0,1,F22,0,1,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,88.90596,11,6,0.8300750243,1.5,1.6,1.4, $ 398.91 
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,353.15423,13,11,0.8300750243,1.7,1.4,1.6, $ 667.49 
Z,0,0,1,4130,1,0,VAM TOP®,0,0,1,Cu Plating,0,0,0,1,0,210.14136,26,6,0.6214222859,1.9,1.3,1.6, $ 705.87 
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,38.39121,19,3,0.6214222859,1.3,1.8,1.1, $ 75.15 
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,1972.09584,61,12,0.8300750243,1.3,1.3,1.7," $ 3,727.42 "
Y,0,1,0,F22,0,1,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,418.26213,23,9,0.8300750243,1.0,1.1,1.6," $ 1,093.65 "
Z,0,0,1,F22,0,1,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,1010.295,20,15,0.8300750243,1.5,1.6,1.5," $ 4,533.08 "
Y,0,1,0,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,781.07029,71,7,0.6214222859,1.9,1.5,1.4," $ 1,528.93 "
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,299.04732,37,6,0.8300750243,1.7,1.7,2.0, $ 781.93 
Z,0,0,1,F22,0,1,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,58.3726,65,2,0.8300750243,1.8,1.7,1.7, $ 261.91 
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Carbide Coating,0,0,0,0,1,654.67116,36,9,0.6214222859,1.7,1.5,1.6, $ 926.35 
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,387.95328,48,6,0.6214222859,1.0,1.3,1.9, $ 548.95 
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,47.59612,53,2,0.6214222859,1.6,2.0,1.6, $ 67.35 
X,1,0,0,4130,1,0,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,2390.35797,63,13,0.6214222859,1.9,1.9,1.9," $ 3,382.31 "
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,808.236,36,10,0.8300750243,2.0,1.9,1.6," $ 1,527.63 "
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Phosphating,1,0,0,0,0,2298.9824,40,16,0.8300750243,1.4,2.0,1.4," $ 4,345.26 "
X,1,0,0,4130,1,0,VAM TOP®,0,0,1,Cu Plating,0,0,0,1,0,2238.58921,59,13,0.6214222859,1.8,1.6,2.0," $ 3,167.56 "
