Part Family,Material,Threading Type,Coating Type,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
X,F22,TenarisHydril Blue®,Phosphating,1515.4425,30,15,0.8300750243,1.9,1.5,1.8," $ 2,864.31 "
Y,4130,TenarisHydril Blue®,Phosphating,2873.728,50,16,0.6214222859,1.7,1.7,1.6," $ 5,625.27 "
Z,4130,JFE Lion,Carbide Coating,745.59771,41,9,0.6214222859,1.9,1.4,1.7," $ 2,504.49 "
X,F22,TenarisHydril Blue®,Xylan Coating,129.31776,4,12,0.8300750243,1.4,1.9,1.8, $ 244.42 
Y,F22,VAM TOP®,Carbide Coating,1907.43696,59,12,0.8300750243,1.5,1.2,1.5," $ 4,987.44 "
Y,4130,VAM TOP®,Carbide Coating,16.16472,18,2,0.6214222859,2.0,1.6,1.1, $ 31.64 
Y,4130,JFE Lion,Ni Plating,1521.27976,56,11,0.6214222859,1.5,1.0,1.6," $ 2,977.88 "
Z,4130,VAM TOP®,Cu Plating,145.9315,26,5,0.6214222859,1.8,1.8,1.5, $ 490.19 
X,F22,VAM TOP®,Phosphating,1521.27976,56,11,0.8300750243,1.3,1.9,1.4," $ 2,875.34 "
Z,4130,JFE Lion,Phosphating,325.5395,58,5,0.6214222859,1.2,1.7,1.5," $ 1,093.50 "
Z,F22,VAM TOP®,Carbide Coating,172.42368,48,4,0.8300750243,1.9,1.4,1.8, $ 773.65 
Z,F22,JFE Lion,Cu Plating,428.36508,53,6,0.8300750243,1.8,1.6,1.4," $ 1,922.03 "
Z,F22,TenarisHydril Blue®,Phosphating,88.90596,11,6,0.8300750243,1.2,1.6,1.8, $ 398.91 
X,F22,JFE Lion,Cu Plating,353.15423,13,11,0.8300750243,1.6,1.2,1.0, $ 667.49 
Z,4130,VAM TOP®,Cu Plating,210.14136,26,6,0.6214222859,1.4,1.6,1.2, $ 705.87 
Y,4130,VAM TOP®,Carbide Coating,38.39121,19,3,0.6214222859,1.7,1.9,1.4, $ 75.15 
X,F22,VAM TOP®,Ni Plating,1972.09584,61,12,0.8300750243,1.8,1.9,1.8," $ 3,727.42 "
Y,F22,VAM TOP®,Carbide Coating,418.26213,23,9,0.8300750243,1.2,1.1,2.0," $ 1,093.65 "
Z,F22,VAM TOP®,Carbide Coating,1010.295,20,15,0.8300750243,1.1,1.0,1.5," $ 4,533.08 "
Y,4130,JFE Lion,Phosphating,781.07029,71,7,0.6214222859,1.5,1.8,1.6," $ 1,528.93 "
Y,F22,TenarisHydril Blue®,Phosphating,299.04732,37,6,0.8300750243,1.7,1.4,1.1, $ 781.93 
Z,F22,JFE Lion,Phosphating,58.3726,65,2,0.8300750243,1.9,1.3,1.0, $ 261.91 
X,4130,TenarisHydril Blue®,Carbide Coating,654.67116,36,9,0.6214222859,1.7,1.2,1.6, $ 926.35 
X,4130,JFE Lion,Xylan Coating,387.95328,48,6,0.6214222859,1.5,1.6,1.8, $ 548.95 
X,4130,TenarisHydril Blue®,Ni Plating,47.59612,53,2,0.6214222859,1.6,1.4,1.4, $ 67.35 
X,4130,VAM TOP®,Ni Plating,2390.35797,63,13,0.6214222859,1.2,1.4,1.6," $ 3,382.31 "
X,F22,JFE Lion,Xylan Coating,808.236,36,10,0.8300750243,1.8,1.7,1.4," $ 1,527.63 "
X,F22,VAM TOP®,Phosphating,2298.9824,40,16,0.8300750243,1.2,1.5,1.4," $ 4,345.26 "
X,4130,VAM TOP®,Cu Plating,2238.58921,59,13,0.6214222859,1.2,1.6,1.6," $ 3,167.56 "
Y,4130,TenarisHydril Blue®,Phosphating,2011.6096,35,16,0.6214222859,1.2,1.7,1.0," $ 3,937.69 "
Z,4130,TenarisHydril Blue®,Ni Plating,3485.51775,69,15,0.6214222859,1.6,1.9,1.8," $ 11,707.98 "
X,4130,TenarisHydril Blue®,Carbide Coating,18.18531,9,3,0.6214222859,1.9,1.8,1.5, $ 25.73 
X,4130,TenarisHydril Blue®,Carbide Coating,1385.45121,51,11,0.6214222859,1.9,1.6,1.8," $ 1,960.38 "
X,4130,VAM TOP®,Cu Plating,3435.003,68,15,0.6214222859,2.0,1.6,1.0," $ 4,860.46 "
Z,F22,VAM TOP®,Xylan Coating,2156.19404,49,14,0.8300750243,1.1,1.7,1.1," $ 9,674.60 "
X,4130,JFE Lion,Phosphating,64.65888,72,2,0.6214222859,1.6,1.5,2.0, $ 91.49 
Z,4130,VAM TOP®,Cu Plating,359.216,25,8,0.6214222859,1.3,1.8,1.1," $ 1,206.62 "
Y,4130,VAM TOP®,Ni Plating,185.22075,33,5,0.6214222859,1.4,1.5,1.1, $ 362.57 
Z,F22,JFE Lion,Cu Plating,347.9905,62,5,0.8300750243,2.0,1.4,1.5," $ 1,561.39 "
X,F22,TenarisHydril Blue®,Carbide Coating,2276.5314,60,13,0.8300750243,1.6,1.7,1.6," $ 4,302.83 "
X,4130,TenarisHydril Blue®,Cu Plating,1109.30391,61,9,0.6214222859,1.3,1.7,1.2," $ 1,569.64 "
Y,4130,VAM TOP®,Cu Plating,158.05504,11,8,0.6214222859,1.8,1.9,1.1, $ 309.39 
Z,4130,TenarisHydril Blue®,Phosphating,919.59296,16,16,0.6214222859,1.3,1.0,1.2," $ 3,088.95 "
Z,4130,VAM TOP®,Carbide Coating,158.05504,11,8,0.6214222859,1.9,2.0,1.1, $ 530.91 
X,F22,TenarisHydril Blue®,Cu Plating,309.15027,17,9,0.8300750243,1.5,1.9,1.2, $ 584.32 
X,F22,TenarisHydril Blue®,Cu Plating,16.16472,8,3,0.8300750243,1.8,1.6,1.7, $ 30.55 
X,F22,TenarisHydril Blue®,Phosphating,543.3142,20,11,0.8300750243,1.6,1.2,1.5," $ 1,026.91 "
X,4130,VAM TOP®,Xylan Coating,787.80559,29,11,0.6214222859,1.3,1.5,1.5," $ 1,114.73 "
Y,F22,VAM TOP®,Phosphating,100.58048,28,4,0.8300750243,1.7,1.0,1.8, $ 262.99 
X,F22,VAM TOP®,Cu Plating,1818.531,36,15,0.8300750243,1.7,1.7,1.1," $ 3,437.17 "
Y,4130,JFE Lion,Phosphating,1609.28768,28,16,0.6214222859,1.6,1.4,1.8," $ 3,150.15 "
X,4130,TenarisHydril Blue®,Carbide Coating,2677.28175,53,15,0.6214222859,1.6,1.9,1.6," $ 3,788.30 "
Y,F22,JFE Lion,Phosphating,58.3726,65,2,0.8300750243,1.8,1.6,1.6, $ 152.63 
X,4130,TenarisHydril Blue®,Carbide Coating,740.883,33,10,0.6214222859,1.1,1.2,1.6," $ 1,048.33 "
X,F22,TenarisHydril Blue®,Ni Plating,1875.10752,58,12,0.8300750243,1.6,1.8,1.1," $ 3,544.10 "
Y,4130,VAM TOP®,Cu Plating,1602.77689,59,11,0.6214222859,2.0,1.9,1.9," $ 3,137.40 "
X,4130,JFE Lion,Xylan Coating,308.70125,55,5,0.6214222859,1.5,1.9,1.6, $ 436.81 
X,4130,TenarisHydril Blue®,Carbide Coating,2332.20988,53,14,0.6214222859,1.4,1.6,1.4," $ 3,300.03 "
Y,F22,VAM TOP®,Xylan Coating,161.6472,20,6,0.8300750243,2.0,1.3,1.1, $ 422.66 
X,F22,JFE Lion,Phosphating,297.02673,27,7,0.8300750243,1.4,1.4,1.1, $ 561.40 
Z,4130,JFE Lion,Carbide Coating,173.99525,31,5,0.6214222859,2.0,2.0,1.8, $ 584.46 
Z,F22,VAM TOP®,Xylan Coating,89.804,16,5,0.8300750243,1.6,1.3,1.4, $ 402.94 
Z,F22,JFE Lion,Xylan Coating,119.21481,59,3,0.8300750243,1.6,1.1,1.5, $ 534.90 
Z,F22,VAM TOP®,Ni Plating,2298.9824,40,16,0.8300750243,1.9,1.5,1.3," $ 10,315.28 "
Z,F22,TenarisHydril Blue®,Xylan Coating,1276.78837,47,11,0.8300750243,1.6,1.1,1.2," $ 5,728.81 "
Z,F22,JFE Lion,Cu Plating,229.89824,16,8,0.8300750243,2.0,1.9,1.0," $ 1,031.53 "
X,F22,VAM TOP®,Ni Plating,1901.5997,70,11,0.8300750243,2.0,1.4,1.6," $ 3,594.18 "
Y,4130,JFE Lion,Cu Plating,748.06732,17,14,0.6214222859,1.4,1.8,1.5," $ 1,464.33 "
Z,4130,JFE Lion,Carbide Coating,740.883,33,10,0.6214222859,1.4,1.8,1.0," $ 2,488.65 "
Y,4130,VAM TOP®,Xylan Coating,364.82875,65,5,0.6214222859,1.4,1.2,1.8, $ 714.15 
Z,4130,VAM TOP®,Carbide Coating,61.74025,11,5,0.6214222859,1.5,1.7,1.5, $ 207.39 
X,F22,TenarisHydril Blue®,Phosphating,3232.944,64,15,0.8300750243,1.2,1.2,1.7," $ 6,110.53 "
Y,4130,VAM TOP®,Phosphating,3276.04992,57,16,0.6214222859,1.7,1.1,1.0," $ 6,412.80 "
X,F22,TenarisHydril Blue®,Phosphating,2263.0608,70,12,0.8300750243,1.4,1.7,1.2," $ 4,277.37 "
X,F22,JFE Lion,Phosphating,22.451,4,5,0.8300750243,1.3,1.8,1.3, $ 42.43 
X,F22,VAM TOP®,Cu Plating,2198.40192,68,12,0.8300750243,1.8,1.2,1.3," $ 4,155.16 "
X,4130,TenarisHydril Blue®,Ni Plating,13.4706,15,2,0.6214222859,1.8,1.5,1.5, $ 19.06 
Z,F22,JFE Lion,Xylan Coating,38.61572,43,2,0.8300750243,1.4,2.0,2.0, $ 173.26 
Z,4130,VAM TOP®,Carbide Coating,363.03267,33,7,0.6214222859,1.5,1.6,1.9," $ 1,219.44 "
Y,4130,JFE Lion,Phosphating,218.89725,39,5,0.6214222859,1.2,1.8,1.5, $ 428.49 
X,F22,JFE Lion,Phosphating,1122.55,50,10,0.8300750243,1.3,1.6,1.8," $ 2,121.71 "
X,F22,TenarisHydril Blue®,Cu Plating,379.4219,10,13,0.8300750243,2.0,1.3,1.3, $ 717.14 
Z,F22,JFE Lion,Ni Plating,252.57375,45,5,0.8300750243,1.2,1.9,1.8," $ 1,133.27 "
Y,4130,VAM TOP®,Ni Plating,157.157,28,5,0.6214222859,1.8,2.0,1.1, $ 307.63 
Y,4130,VAM TOP®,Phosphating,614.25936,19,12,0.6214222859,1.3,1.7,1.4," $ 1,202.40 "
X,4130,JFE Lion,Cu Plating,1459.315,65,10,0.6214222859,1.6,1.5,1.4," $ 2,064.90 "
Z,4130,VAM TOP®,Carbide Coating,1403.86103,37,13,0.6214222859,1.1,1.0,1.8," $ 4,715.62 "
X,4130,JFE Lion,Cu Plating,125.7256,35,4,0.6214222859,1.6,1.4,1.2, $ 177.90 
X,4130,VAM TOP®,Phosphating,2728.24552,62,14,0.6214222859,1.9,2.0,1.3," $ 3,860.41 "
X,4130,VAM TOP®,Phosphating,549.60048,17,12,0.6214222859,1.8,1.0,1.7, $ 777.67 
Z,4130,VAM TOP®,Xylan Coating,88.00792,8,7,0.6214222859,1.9,1.1,1.9, $ 295.62 
Y,F22,TenarisHydril Blue®,Cu Plating,376.05425,67,5,0.8300750243,1.2,1.5,1.3, $ 983.28 
Z,F22,JFE Lion,Ni Plating,1972.99388,52,13,0.8300750243,1.3,1.1,1.3," $ 8,852.60 "
Y,F22,TenarisHydril Blue®,Xylan Coating,90.92655,45,3,0.8300750243,1.2,1.8,1.6, $ 237.75 
Y,F22,JFE Lion,Carbide Coating,145.48248,8,9,0.8300750243,1.9,1.9,1.9, $ 380.40 
Y,4130,VAM TOP®,Ni Plating,924.08316,21,14,0.6214222859,2.0,1.4,2.0," $ 1,808.87 "
Z,F22,JFE Lion,Carbide Coating,129.31776,36,4,0.8300750243,1.8,1.0,1.2, $ 580.23 
Z,4130,JFE Lion,Cu Plating,201.16096,14,8,0.6214222859,1.5,1.3,1.3, $ 675.71 
Y,F22,TenarisHydril Blue®,Ni Plating,1324.609,59,10,0.8300750243,1.9,1.8,1.4," $ 3,463.50 "
Y,4130,VAM TOP®,Xylan Coating,1571.57,70,10,0.6214222859,1.7,1.4,1.8," $ 3,076.32 "
Y,4130,VAM TOP®,Cu Plating,2528.88064,44,16,0.6214222859,1.1,1.3,1.2," $ 4,950.23 "
