Part Family,Material Grade,Threading Type,Coating Type,Weight (MT),Length (inches),Diameter (inches),RM Cost/MT,Volume,Alpha,Beta,Gamma,Price
Europe,4130,VAM TOP®,Cu Plating,53,71,31,"$1,470.00",53588.50209,1.8,1.2,1.02,"$48,769,600.19"
China,F22,JFE Lion,Cu Plating,22,35,4,"$1,830.00",439.8229715,2.5,1.15,1.02,"$663,244.01"
Brazil,F22,TenarisHydril Blue®,Cu Plating,85,136,20,"$2,379.00",42725.66009,2.5,1.17,1.02,"$85,214,909.12"
India,4130,TenarisHydril Blue®,Carbide Coating,54,9,15,"$1,190.00",1590.431281,1.8,1.17,1.1,"$1,232,024.21"
Europe,4130,JFE Lion,Carbide Coating,175,46,15,"$1,470.00",8128.870991,1.8,1.15,1.1,"$7,645,694.07"
Europe,4130,VAM TOP®,Cu Plating,68,82,24,"$1,470.00",37095.92605,1.8,1.2,1.02,"$33,760,105.47"
Singapore,4130,VAM TOP®,Cu Plating,54,105,3,"$1,473.45",742.2012644,1.8,1.2,1.02,"$677,044.69"
Brazil,4130,TenarisHydril Blue®,Cu Plating,5,9,23,"$1,781.00",3739.280656,1.8,1.17,1.02,"$4,019,914.73"
Brazil,4130,VAM TOP®,Carbide Coating,17,91,20,"$1,781.00",28588.49315,1.8,1.2,1.1,"$33,994,443.87"
Romania,F22,JFE Lion,Xylan Coating,197,122,31,"$2,415.00",92081.65147,2.5,1.15,1.01,"$181,449,500.71"
Singapore,4130,JFE Lion,Cu Plating,189,42,8,"$1,473.45",2111.150263,1.8,1.15,1.02,"$1,845,573.67"
Brazil,F22,VAM TOP®,Ni Plating,188,35,7,"$2,379.00",1346.95785,2.5,1.2,1.05,"$2,836,385.92"
Europe,F22,JFE Lion,Phosphating,3,60,3,"$2,400.00",424.1150082,2.5,1.15,1,"$822,316.59"
China,F22,TenarisHydril Blue®,Phosphating,39,36,40,"$1,830.00",45238.93421,2.5,1.17,1,"$68,044,910.13"
Brazil,4130,JFE Lion,Phosphating,62,84,32,"$1,781.00",67556.80842,1.8,1.15,1,"$69,985,764.15"
USA,F22,JFE Lion,Carbide Coating,137,89,14,"$2,528.07",13700.48556,2.5,1.15,1.1,"$30,779,524.65"
Romania,4130,VAM TOP®,Cu Plating,11,83,21,"$1,609.20",28747.92897,1.8,1.2,1.02,"$28,640,251.67"
Singapore,F22,TenarisHydril Blue®,Ni Plating,97,34,2,"$2,215.29",106.8141502,2.5,1.17,1.05,"$204,211.82"
Europe,4130,TenarisHydril Blue®,Xylan Coating,18,36,20,"$1,470.00",11309.73355,1.8,1.17,1.01,"$9,937,010.96"
India,F22,VAM TOP®,Xylan Coating,133,9,11,"$1,998.00",855.2985999,2.5,1.2,1.01,"$1,454,997.32"
Romania,F22,VAM TOP®,Cu Plating,4,88,36,"$2,415.00",89573.08974,2.5,1.2,1.02,"$186,004,065.42"
China,F22,VAM TOP®,Xylan Coating,71,1,28,"$1,830.00",615.7521601,2.5,1.2,1.01,"$959,413.85"
Europe,4130,JFE Lion,Cu Plating,196,61,11,"$1,470.00",5797.023844,1.8,1.15,1.02,"$5,055,909.12"
Singapore,4130,JFE Lion,Phosphating,123,47,11,"$1,473.45",4466.559355,1.8,1.15,1,"$3,828,116.78"
Singapore,4130,VAM TOP®,Cu Plating,87,122,2,"$1,473.45",383.2743037,1.8,1.2,1.02,"$349,627.31"
Singapore,F22,TenarisHydril Blue®,Carbide Coating,87,56,23,"$2,215.29",23266.63519,2.5,1.17,1.1,"$46,600,335.45"
USA,4130,TenarisHydril Blue®,Phosphating,70,101,15,"$1,690.50",17848.17326,1.8,1.17,1,"$17,855,566.57"
Romania,4130,TenarisHydril Blue®,Xylan Coating,116,131,40,"$1,609.20",164619.455,1.8,1.17,1.01,"$158,335,115.83"
Singapore,F22,TenarisHydril Blue®,Cu Plating,195,31,10,"$2,215.29",2434.734307,2.5,1.17,1.02,"$4,521,833.06"
India,F22,JFE Lion,Xylan Coating,90,125,40,"$1,998.00",157079.6327,2.5,1.15,1.01,"$256,083,091.24"
China,4130,VAM TOP®,Cu Plating,112,83,40,"$1,370.00",104300.8761,1.8,1.2,1.02,"$88,464,446.86"
USA,F22,JFE Lion,Xylan Coating,13,47,16,"$2,528.07",9449.910702,2.5,1.15,1.01,"$19,493,164.26"
Brazil,F22,VAM TOP®,Xylan Coating,76,27,11,"$2,379.00",2565.8958,2.5,1.2,1.01,"$5,197,355.29"
USA,F22,VAM TOP®,Ni Plating,64,99,3,"$2,528.07",699.7897636,2.5,1.2,1.05,"$1,565,934.36"
China,4130,VAM TOP®,Xylan Coating,198,42,32,"$1,370.00",33778.40421,1.8,1.2,1.01,"$28,368,811.42"
China,4130,TenarisHydril Blue®,Cu Plating,92,98,32,"$1,370.00",78816.27649,1.8,1.17,1.02,"$65,178,046.44"
Singapore,F22,VAM TOP®,Phosphating,9,7,36,"$2,215.29",7125.132138,2.5,1.2,1,"$13,306,109.24"
Romania,4130,JFE Lion,Phosphating,67,122,29,"$1,609.20",80583.42236,1.8,1.15,1,"$75,427,966.08"
Romania,4130,TenarisHydril Blue®,Xylan Coating,70,87,32,"$1,609.20",69969.55158,1.8,1.17,1.01,"$67,298,467.55"
China,F22,JFE Lion,Carbide Coating,150,32,40,"$1,830.00",40212.38597,2.5,1.15,1.1,"$65,395,488.18"
Romania,4130,VAM TOP®,Xylan Coating,162,133,9,"$1,609.20",8461.094414,1.8,1.2,1.01,"$8,346,761.61"
Romania,F22,TenarisHydril Blue®,Carbide Coating,2,2,10,"$2,415.00",157.0796327,2.5,1.17,1.1,"$342,974.54"
China,4130,JFE Lion,Carbide Coating,135,22,3,"$1,370.00",155.5088364,1.8,1.15,1.1,"$136,315.42"
China,4130,TenarisHydril Blue®,Carbide Coating,64,118,1,"$1,370.00",92.67698328,1.8,1.17,1.1,"$82,651.33"
Romania,4130,TenarisHydril Blue®,Carbide Coating,48,136,6,"$1,609.20",3845.309408,1.8,1.17,1.1,"$4,028,085.56"
Singapore,4130,TenarisHydril Blue®,Cu Plating,74,38,17,"$1,473.45",8625.24263,1.8,1.17,1.02,"$7,671,346.20"
Romania,4130,VAM TOP®,Ni Plating,35,49,19,"$1,609.20",13892.90811,1.8,1.2,1.05,"$14,247,955.74"
Brazil,F22,TenarisHydril Blue®,Ni Plating,52,132,13,"$2,379.00",17520.66223,2.5,1.17,1.05,"$35,972,154.38"
China,F22,JFE Lion,Ni Plating,85,133,33,"$1,830.00",113754.7138,2.5,1.15,1.05,"$176,585,061.04"
Brazil,F22,JFE Lion,Ni Plating,125,6,29,"$2,379.00",3963.119133,2.5,1.15,1.05,"$7,997,698.68"
India,F22,VAM TOP®,Phosphating,193,1,18,"$1,998.00",254.4690049,2.5,1.2,1,"$428,605.71"
Romania,4130,VAM TOP®,Xylan Coating,184,118,39,"$1,609.20",140961.6916,1.8,1.2,1.01,"$139,056,908.98"
Singapore,4130,VAM TOP®,Ni Plating,160,45,37,"$1,473.45",48384.45386,1.8,1.2,1.05,"$45,435,008.80"
Romania,4130,TenarisHydril Blue®,Cu Plating,182,46,27,"$1,609.20",26337.54201,1.8,1.17,1.02,"$25,582,920.65"
Brazil,F22,TenarisHydril Blue®,Ni Plating,70,43,22,"$2,379.00",16345.70658,2.5,1.17,1.05,"$33,559,820.56"
Romania,4130,VAM TOP®,Phosphating,107,44,28,"$1,609.20",27093.09504,1.8,1.2,1,"$26,462,368.66"
USA,F22,VAM TOP®,Carbide Coating,91,27,19,"$2,528.07",7655.275899,2.5,1.2,1.1,"$17,946,104.91"
China,4130,TenarisHydril Blue®,Xylan Coating,123,110,19,"$1,370.00",31188.16107,1.8,1.17,1.01,"$25,538,559.43"
Europe,4130,VAM TOP®,Carbide Coating,101,32,2,"$1,470.00",100.5309649,1.8,1.2,1.1,"$98,666.55"
USA,4130,JFE Lion,Ni Plating,143,115,35,"$1,690.50",110642.9663,1.8,1.15,1.05,"$114,236,516.13"
India,4130,VAM TOP®,Phosphating,3,7,13,"$1,190.00",929.1260273,1.8,1.2,1,"$671,091.38"
Singapore,F22,VAM TOP®,Ni Plating,200,88,9,"$2,215.29",5598.318109,2.5,1.2,1.05,"$10,977,540.12"
China,4130,TenarisHydril Blue®,Xylan Coating,198,75,9,"$1,370.00",4771.293843,1.8,1.17,1.01,"$3,906,994.42"
China,F22,JFE Lion,Ni Plating,52,96,22,"$1,830.00",36492.74026,2.5,1.15,1.05,"$56,648,841.64"
Europe,F22,TenarisHydril Blue®,Xylan Coating,199,110,4,"$2,400.00",1382.300768,2.5,1.17,1.01,"$2,754,021.68"
Europe,F22,JFE Lion,Phosphating,48,118,4,"$2,400.00",1482.831732,2.5,1.15,1,"$2,875,062.45"
India,4130,TenarisHydril Blue®,Carbide Coating,143,32,12,"$1,190.00",3619.114737,1.8,1.17,1.1,"$2,803,539.54"
India,4130,TenarisHydril Blue®,Phosphating,33,138,3,"$1,190.00",975.4645189,1.8,1.17,1,"$686,946.83"
Brazil,F22,VAM TOP®,Phosphating,79,129,14,"$2,379.00",19858.00716,2.5,1.2,1,"$39,825,173.79"
Romania,4130,JFE Lion,Phosphating,162,90,15,"$1,609.20",15904.31281,1.8,1.15,1,"$14,886,808.38"
Singapore,F22,TenarisHydril Blue®,Cu Plating,141,11,38,"$2,215.29",12475.26443,2.5,1.17,1.02,"$23,169,289.12"
Brazil,F22,VAM TOP®,Xylan Coating,18,29,1,"$2,379.00",22.77654674,2.5,1.2,1.01,"$46,135.08"
Europe,4130,VAM TOP®,Carbide Coating,20,31,20,"$1,470.00",9738.937226,1.8,1.2,1.1,"$9,558,322.01"
Europe,4130,TenarisHydril Blue®,Cu Plating,19,128,14,"$1,470.00",19704.06912,1.8,1.17,1.02,"$17,483,892.02"
India,F22,JFE Lion,Phosphating,54,49,40,"$1,998.00",61575.21601,2.5,1.15,1,"$99,390,665.11"
Europe,F22,JFE Lion,Ni Plating,82,115,10,"$2,400.00",9032.078879,2.5,1.15,1.05,"$18,387,912.63"
Romania,4130,JFE Lion,Cu Plating,107,15,18,"$1,609.20",3817.035074,1.8,1.15,1.02,"$3,644,290.69"
China,F22,TenarisHydril Blue®,Phosphating,87,81,6,"$1,830.00",2290.221044,2.5,1.17,1,"$3,444,773.58"
Romania,4130,VAM TOP®,Carbide Coating,185,79,14,"$1,609.20",12161.10516,1.8,1.2,1.1,"$13,065,794.53"
Singapore,F22,TenarisHydril Blue®,Carbide Coating,184,114,24,"$2,215.29",51572.385,2.5,1.17,1.1,"$103,293,425.16"
India,4130,VAM TOP®,Phosphating,6,104,16,"$1,190.00",20910.4407,1.8,1.2,1,"$15,103,243.30"
China,F22,JFE Lion,Xylan Coating,80,134,27,"$1,830.00",76722.40499,2.5,1.15,1.01,"$114,561,539.33"
Romania,F22,TenarisHydril Blue®,Phosphating,147,12,35,"$2,415.00",11545.353,2.5,1.17,1,"$22,916,935.45"
China,F22,JFE Lion,Phosphating,155,118,31,"$1,830.00",89062.58093,2.5,1.15,1,"$131,671,121.61"
Romania,F22,JFE Lion,Ni Plating,22,129,21,"$2,415.00",44680.51612,2.5,1.15,1.05,"$91,531,121.62"
Singapore,4130,JFE Lion,Ni Plating,185,34,7,"$1,473.45",1308.47334,1.8,1.15,1.05,"$1,177,514.45"
Romania,4130,TenarisHydril Blue®,Carbide Coating,113,95,26,"$1,609.20",50438.27005,1.8,1.17,1.1,"$52,835,713.72"
China,F22,VAM TOP®,Cu Plating,141,135,33,"$1,830.00",115465.311,2.5,1.2,1.02,"$181,689,724.23"
USA,4130,VAM TOP®,Carbide Coating,38,56,21,"$1,690.50",19396.19304,1.8,1.2,1.1,"$21,891,949.07"
Brazil,F22,TenarisHydril Blue®,Phosphating,19,95,11,"$2,379.00",9028.151888,2.5,1.17,1,"$17,653,283.24"
USA,F22,JFE Lion,Carbide Coating,29,53,34,"$2,528.07",48119.77468,2.5,1.15,1.1,"$108,105,934.21"
India,F22,JFE Lion,Phosphating,116,58,30,"$1,998.00",40997.78413,2.5,1.15,1,"$66,175,927.54"
India,F22,JFE Lion,Cu Plating,155,81,27,"$1,998.00",46376.97615,2.5,1.15,1.02,"$76,355,838.93"
Europe,F22,VAM TOP®,Phosphating,157,98,37,"$2,400.00",105370.5884,2.5,1.2,1,"$213,185,774.45"
USA,F22,VAM TOP®,Ni Plating,139,80,7,"$2,528.07",3078.760801,2.5,1.2,1.05,"$6,889,408.19"
Brazil,4130,TenarisHydril Blue®,Phosphating,104,76,30,"$1,781.00",53721.23438,1.8,1.17,1,"$56,620,615.92"
Romania,F22,VAM TOP®,Ni Plating,151,13,28,"$2,415.00",8004.778081,2.5,1.2,1.05,"$17,111,311.80"
Brazil,F22,TenarisHydril Blue®,Carbide Coating,13,57,19,"$2,379.00",16161.13801,2.5,1.17,1.1,"$34,760,919.54"
USA,F22,TenarisHydril Blue®,Cu Plating,67,19,6,"$2,528.07",537.2123438,2.5,1.17,1.02,"$1,138,590.20"
Europe,4130,TenarisHydril Blue®,Cu Plating,42,138,26,"$1,470.00",73268.22387,1.8,1.17,1.02,"$65,012,648.23"
Brazil,4130,JFE Lion,Phosphating,1,34,8,"$1,781.00",1709.026404,1.8,1.15,1,"$1,770,473.20"
USA,4130,TenarisHydril Blue®,Phosphating,56,120,4,"$1,690.50",1507.964474,1.8,1.17,1,"$1,508,589.12"
India,4130,TenarisHydril Blue®,Ni Plating,80,55,11,"$1,190.00",5226.824777,1.8,1.17,1.05,"$3,864,905.58"
Singapore,F22,JFE Lion,Phosphating,176,96,8,"$2,215.29",4825.486316,2.5,1.15,1,"$8,636,063.85"
India,4130,TenarisHydril Blue®,Phosphating,3,103,27,"$1,190.00",58973.1919,1.8,1.17,1,"$41,530,416.11"
Europe,F22,JFE Lion,Cu Plating,191,67,8,"$2,400.00",3367.787325,2.5,1.15,1.02,"$6,660,398.90"
India,F22,JFE Lion,Ni Plating,74,60,37,"$1,998.00",64512.60514,2.5,1.15,1.05,"$109,338,605.79"
China,F22,VAM TOP®,Carbide Coating,89,89,3,"$1,830.00",629.1039289,2.5,1.2,1.1,"$1,067,563.57"
China,4130,JFE Lion,Ni Plating,14,108,4,"$1,370.00",1357.168026,1.8,1.15,1.05,"$1,135,586.32"
Brazil,F22,TenarisHydril Blue®,Xylan Coating,50,48,8,"$2,379.00",2412.743158,2.5,1.17,1.01,"$4,764,958.24"
Singapore,4130,JFE Lion,Carbide Coating,14,69,16,"$1,473.45",13873.27316,1.8,1.15,1.1,"$13,079,275.60"
China,F22,JFE Lion,Xylan Coating,95,47,18,"$1,830.00",11960.04323,2.5,1.15,1.01,"$17,858,681.09"
Singapore,F22,JFE Lion,Xylan Coating,178,27,14,"$2,215.29",4156.327081,2.5,1.15,1.01,"$7,512,869.53"
India,4130,JFE Lion,Phosphating,94,102,27,"$1,190.00",58400.63663,1.8,1.15,1,"$40,424,178.99"
Brazil,F22,JFE Lion,Cu Plating,73,123,6,"$2,379.00",3477.743068,2.5,1.15,1.02,"$6,817,674.71"
Romania,F22,VAM TOP®,Phosphating,103,134,16,"$2,415.00",26942.2986,2.5,1.2,1,"$54,850,343.89"
Romania,4130,TenarisHydril Blue®,Phosphating,145,112,18,"$1,609.20",28500.52855,1.8,1.17,1,"$27,141,111.23"
USA,F22,JFE Lion,Carbide Coating,69,28,23,"$2,528.07",11633.3176,2.5,1.15,1.1,"$26,135,423.02"
Romania,4130,TenarisHydril Blue®,Xylan Coating,143,2,3,"$1,609.20",14.13716694,1.8,1.17,1.01,"$13,597.48"
USA,4130,JFE Lion,Cu Plating,172,100,13,"$1,690.50",13273.22896,1.8,1.15,1.02,"$13,312,775.19"
Romania,4130,JFE Lion,Ni Plating,36,117,9,"$1,609.20",7443.218395,1.8,1.15,1.05,"$7,315,377.64"
Romania,4130,TenarisHydril Blue®,Ni Plating,14,91,37,"$1,609.20",97844.1178,1.8,1.17,1.05,"$97,836,009.73"
Brazil,4130,JFE Lion,Carbide Coating,98,32,3,"$1,781.00",226.1946711,1.8,1.15,1.1,"$257,760.07"
Singapore,4130,TenarisHydril Blue®,Cu Plating,67,72,11,"$1,473.45",6842.3888,1.8,1.17,1.02,"$6,085,664.55"
Europe,4130,TenarisHydril Blue®,Ni Plating,54,29,9,"$1,470.00",1844.900286,1.8,1.17,1.05,"$1,685,171.94"
Singapore,F22,JFE Lion,Phosphating,164,46,17,"$2,215.29",10441.08318,2.5,1.15,1,"$18,686,170.70"
Singapore,4130,JFE Lion,Xylan Coating,29,133,21,"$1,473.45",46065.95848,1.8,1.15,1.01,"$39,876,180.58"
India,F22,VAM TOP®,Xylan Coating,155,23,25,"$1,998.00",11290.0986,2.5,1.2,1.01,"$19,206,231.84"
Romania,4130,JFE Lion,Cu Plating,98,93,33,"$1,609.20",79542.76979,1.8,1.15,1.02,"$75,942,968.78"
Brazil,4130,TenarisHydril Blue®,Phosphating,91,50,20,"$1,781.00",15707.96327,1.8,1.17,1,"$16,555,735.65"
India,4130,VAM TOP®,Xylan Coating,14,18,3,"$1,190.00",127.2345025,1.8,1.2,1.01,"$92,818.23"
Europe,F22,VAM TOP®,Cu Plating,180,60,4,"$2,400.00",753.9822369,2.5,1.2,1.02,"$1,555,966.00"
Romania,F22,TenarisHydril Blue®,Phosphating,16,9,25,"$2,415.00",4417.864669,2.5,1.17,1,"$8,769,235.50"
Europe,4130,VAM TOP®,Ni Plating,57,101,22,"$1,470.00",38393.40382,1.8,1.2,1.05,"$35,968,582.40"
China,F22,TenarisHydril Blue®,Xylan Coating,5,107,14,"$1,830.00",16471.37028,2.5,1.17,1.01,"$25,022,712.39"
Europe,4130,TenarisHydril Blue®,Xylan Coating,16,135,17,"$1,470.00",30642.30934,1.8,1.17,1.01,"$26,923,089.06"
USA,4130,VAM TOP®,Xylan Coating,181,63,36,"$1,690.50",64126.18925,1.8,1.2,1.01,"$66,455,671.75"
China,4130,TenarisHydril Blue®,Ni Plating,60,63,26,"$1,370.00",33448.53698,1.8,1.17,1.05,"$28,474,209.74"
USA,F22,TenarisHydril Blue®,Xylan Coating,193,84,1,"$2,528.07",65.97344573,2.5,1.17,1.01,"$138,456.01"
Brazil,F22,JFE Lion,Ni Plating,169,129,10,"$2,379.00",10131.63631,2.5,1.15,1.05,"$20,445,959.76"
Brazil,4130,TenarisHydril Blue®,Ni Plating,164,79,30,"$1,781.00",55841.80942,1.8,1.17,1.05,"$61,798,422.24"
Romania,F22,JFE Lion,Xylan Coating,28,124,5,"$2,415.00",2434.734307,2.5,1.15,1.01,"$4,797,712.87"
Romania,F22,TenarisHydril Blue®,Ni Plating,36,46,14,"$2,415.00",7081.149841,2.5,1.17,1.05,"$14,758,506.43"
China,4130,VAM TOP®,Xylan Coating,114,10,26,"$1,370.00",5309.291585,1.8,1.2,1.01,"$4,459,011.47"
Europe,F22,TenarisHydril Blue®,Cu Plating,169,50,36,"$2,400.00",50893.80099,2.5,1.17,1.02,"$102,402,012.30"
India,4130,JFE Lion,Carbide Coating,11,48,28,"$1,190.00",29556.10368,1.8,1.15,1.1,"$22,504,195.57"
China,4130,TenarisHydril Blue®,Xylan Coating,130,103,23,"$1,370.00",42793.98973,1.8,1.17,1.01,"$35,042,042.00"
Brazil,4130,TenarisHydril Blue®,Phosphating,116,111,11,"$1,781.00",10548.68273,1.8,1.17,1,"$11,118,004.27"
Singapore,F22,VAM TOP®,Carbide Coating,160,81,6,"$2,215.29",2290.221044,2.5,1.2,1.1,"$4,704,660.05"
USA,F22,JFE Lion,Phosphating,104,134,11,"$2,528.07",12734.44582,2.5,1.15,1,"$26,008,380.73"
USA,4130,TenarisHydril Blue®,Carbide Coating,131,89,37,"$1,690.50",95693.69763,1.8,1.17,1.1,"$105,306,670.83"
Singapore,4130,JFE Lion,Phosphating,10,126,34,"$1,473.45",114397.9549,1.8,1.15,1,"$98,046,101.29"
China,4130,VAM TOP®,Phosphating,135,133,1,"$1,370.00",104.4579557,1.8,1.2,1,"$86,860.47"
USA,F22,VAM TOP®,Cu Plating,171,99,17,"$2,528.07",22471.02685,2.5,1.2,1.02,"$48,847,209.65"
Europe,4130,TenarisHydril Blue®,Ni Plating,150,76,27,"$1,470.00",43514.19984,1.8,1.17,1.05,"$39,746,814.00"
China,4130,TenarisHydril Blue®,Xylan Coating,108,19,20,"$1,370.00",5969.026042,1.8,1.17,1.01,"$4,887,762.57"
Brazil,4130,JFE Lion,Cu Plating,69,114,4,"$1,781.00",1432.56625,1.8,1.15,1.02,"$1,513,754.59"
China,4130,TenarisHydril Blue®,Carbide Coating,194,69,19,"$1,370.00",19563.48285,1.8,1.17,1.1,"$17,447,134.66"
USA,F22,JFE Lion,Phosphating,87,79,28,"$2,528.07",48644.42065,2.5,1.15,1,"$99,349,640.35"
China,F22,TenarisHydril Blue®,Xylan Coating,101,88,14,"$1,830.00",13546.54752,2.5,1.17,1.01,"$20,579,427.02"
China,F22,TenarisHydril Blue®,Ni Plating,2,79,30,"$1,830.00",55841.80942,2.5,1.17,1.05,"$88,192,582.74"
USA,F22,VAM TOP®,Carbide Coating,160,9,39,"$2,528.07",10751.31546,2.5,1.2,1.1,"$25,204,086.40"
Europe,F22,VAM TOP®,Phosphating,184,17,19,"$2,400.00",4819.988529,2.5,1.2,1,"$9,751,800.79"
Romania,F22,TenarisHydril Blue®,Ni Plating,91,117,4,"$2,415.00",1470.265362,2.5,1.17,1.05,"$3,064,321.65"
China,F22,TenarisHydril Blue®,Ni Plating,7,111,1,"$1,830.00",87.17919614,2.5,1.17,1.05,"$137,684.62"
Singapore,F22,TenarisHydril Blue®,Ni Plating,44,127,14,"$2,215.29",19550.13108,2.5,1.17,1.05,"$37,376,768.45"
India,4130,TenarisHydril Blue®,Xylan Coating,155,106,18,"$1,190.00",26973.71452,1.8,1.17,1.01,"$19,185,529.01"
Romania,4130,TenarisHydril Blue®,Xylan Coating,43,83,4,"$1,609.20",1043.008761,1.8,1.17,1.01,"$1,003,191.96"
Singapore,F22,TenarisHydril Blue®,Phosphating,153,62,33,"$2,215.29",53028.5132,2.5,1.17,1,"$96,554,435.25"
China,F22,JFE Lion,Ni Plating,35,98,39,"$1,830.00",117069.8794,2.5,1.15,1.05,"$181,731,298.14"
Brazil,4130,VAM TOP®,Carbide Coating,49,56,14,"$1,781.00",8620.530241,1.8,1.2,1.1,"$10,250,632.30"
India,4130,TenarisHydril Blue®,Ni Plating,142,92,40,"$1,190.00",115610.6097,1.8,1.17,1.05,"$85,486,716.93"
Brazil,F22,JFE Lion,Ni Plating,40,139,21,"$2,379.00",48144.12202,2.5,1.15,1.05,"$97,156,347.85"
Singapore,4130,TenarisHydril Blue®,Ni Plating,155,135,38,"$1,473.45",153105.518,1.8,1.17,1.05,"$140,178,120.28"
Singapore,F22,TenarisHydril Blue®,Cu Plating,114,26,10,"$2,215.29",2042.035225,2.5,1.17,1.02,"$3,792,505.14"
Singapore,F22,JFE Lion,Xylan Coating,37,110,24,"$2,215.29",49762.82763,2.5,1.15,1.01,"$89,950,002.49"
USA,F22,TenarisHydril Blue®,Cu Plating,85,13,27,"$2,528.07",7443.218395,2.5,1.17,1.02,"$15,775,466.80"
USA,4130,VAM TOP®,Phosphating,67,55,16,"$1,690.50",11058.40614,1.8,1.2,1,"$11,346,653.23"
Brazil,F22,JFE Lion,Cu Plating,136,31,23,"$2,379.00",12879.74448,2.5,1.15,1.02,"$25,249,107.42"
Romania,F22,VAM TOP®,Cu Plating,23,121,17,"$2,415.00",27464.58838,2.5,1.2,1.02,"$57,031,917.82"
China,4130,VAM TOP®,Cu Plating,16,129,13,"$1,370.00",17122.46536,1.8,1.2,1.02,"$14,522,691.31"
Romania,4130,VAM TOP®,Phosphating,28,137,25,"$1,609.20",67249.71774,1.8,1.2,1,"$65,684,146.46"
Romania,F22,TenarisHydril Blue®,Xylan Coating,50,31,29,"$2,415.00",20476.11552,2.5,1.17,1.01,"$41,050,482.89"
Singapore,4130,JFE Lion,Carbide Coating,40,70,3,"$1,473.45",494.8008429,1.8,1.15,1.1,"$466,482.32"
Romania,F22,JFE Lion,Xylan Coating,16,119,20,"$2,415.00",37384.95258,2.5,1.15,1.01,"$73,668,107.28"
Europe,4130,JFE Lion,Xylan Coating,72,97,15,"$1,470.00",17141.31492,1.8,1.15,1.01,"$14,803,332.96"
USA,F22,VAM TOP®,Carbide Coating,29,85,9,"$2,528.07",5407.466355,2.5,1.2,1.1,"$12,676,611.50"
Brazil,4130,JFE Lion,Cu Plating,149,113,8,"$1,781.00",5679.999518,1.8,1.15,1.02,"$6,001,904.15"
Brazil,F22,JFE Lion,Ni Plating,95,17,31,"$2,379.00",12831.0498,2.5,1.15,1.05,"$25,893,460.82"
Romania,4130,VAM TOP®,Xylan Coating,192,53,17,"$1,609.20",12029.94367,1.8,1.2,1.01,"$11,867,385.83"
Singapore,4130,JFE Lion,Carbide Coating,13,7,22,"$1,473.45",2660.928978,1.8,1.15,1.1,"$2,508,638.23"
Brazil,4130,VAM TOP®,Xylan Coating,76,87,35,"$1,781.00",83703.80926,1.8,1.2,1.01,"$91,388,297.54"
Singapore,F22,VAM TOP®,Cu Plating,27,73,25,"$2,215.29",35833.79121,2.5,1.2,1.02,"$68,257,612.30"
China,F22,JFE Lion,Xylan Coating,146,103,25,"$1,830.00",50560.00677,2.5,1.15,1.01,"$75,495,967.64"
India,4130,JFE Lion,Xylan Coating,47,30,38,"$1,190.00",34023.44844,1.8,1.15,1.01,"$23,786,104.90"
India,F22,TenarisHydril Blue®,Cu Plating,129,119,30,"$1,998.00",84116.1433,2.5,1.17,1.02,"$140,898,768.80"
Europe,4130,VAM TOP®,Carbide Coating,162,14,24,"$1,470.00",6333.45079,1.8,1.2,1.1,"$6,215,992.64"
